	ID_31;;pilot3_lane7	ID_15;;pilot3_lane4	ID_14;;pilot3_lane4	ID_3;;pilot3_lane1	ID_38;;pilot3_lane8	ID_25;;pilot3_lane6	ID_26;;pilot3_lane6	ID_27;;pilot3_lane6	ID_32;;pilot3_lane7	ID_5;;pilot3_lane1	ID_19;;pilot3_lane5	ID_33;;pilot3_lane7	ID_35;;pilot3_lane7	ID_28;;pilot3_lane6	ID_9;;pilot3_lane2	ID_37;;pilot3_lane8	ID_8;;pilot3_lane2	ID_7;;pilot3_lane2	ID_10;;pilot3_lane3	ID_34;;pilot3_lane7	ID_30;;pilot3_lane7	ID_4;;pilot3_lane1	ID_36;;pilot3_lane8	ID_17;;pilot3_lane4	ID_11;;pilot3_lane3	ID_23;;pilot3_lane5	ID_40;;pilot3_lane8	ID_12;;pilot3_lane3	ID_22;;pilot3_lane5	ID_39;;pilot3_lane8	ID_21;;pilot3_lane5	ID_13;;pilot3_lane4	ID_2;;pilot3_lane1	ID_16;;pilot3_lane4	ID_29;;pilot3_lane6	ID_20;;pilot3_lane5	ID_1;;pilot3_lane1	ID_6;;pilot3_lane1	ID_18;;pilot3_lane4	ID_24;;pilot3_lane5
YPEL5	0.266204035989743	0.17581298058276	0.329496385156038	0.327048471860824	0.0995988015185668	0.147765204959733	0.330582348083584	0.363973839647929	0.250795610324115	0.216071690997557	0.295760500044809	0.212425073279716	0.503484826811162	0.643836474123643	0.299837514296874	0.228765695890236	0.18114759154127	0.234350127784696	0.365016492842275	0.22320617608008	0.412601271039599	0.057805440482612	0.371257629769691	0.678567992295253	0.363790195170978	0.33704530299207	0.337773898184036	0.35534624401346	0.0955682236800141	0.18979787605608	0.321117826325032	0.294070690163214	0.359211243994379	0.462962761511121	0	0.32188293473992	0.266980816147725	0.381879622620489	0.23929230092897	0
PTK2B	0.0483507073864276	0.0528427749146755	0.09211595118117	0	0.0409014837661151	0.032056755993455	0.0331581235242061	0	0.0834328377941968	0.120474957318244	0.0708165652097897	0.201956364900144	0.130674151432943	0	0.0125067861347709	0.0416652865182652	0.0353710835282224	0.0525217577364063	0.105142759878096	0.0480001258061837	0.084751766114795	0	0.023526542539129	0.0730640416129537	0	0.0258464536816031	0	0.0735734212346626	0	0.0704294661851038	0.0599642446801926	0.111522250408471	0	0	0	0.080013517376866	0	0	0.071694842586135	0.578187958265978
SREK1	0.0868940573174652	0.0536771415963889	0.200426279140971	0.119990136098153	0.198749870664854	0.207303617689513	0.116864797475516	0.0875900317313341	0.124304771137237	0.277790539326907	0.130900144659254	0.0606865748709013	0.198398347129836	0.65942923781261	0.228857403787478	0.216692640327759	0.193241301036256	0.108997883526145	0.0218726469085181	0.239846035559222	0.154866164200456	0.159435131469508	0.128101993033286	0.24203510574466	0.164567504011973	0.135672702385996	0.231636824236778	0.299030774669947	0.16859235341969	0.199177086756404	0.25929241255587	0.173702625261433	0.149937378044874	0	0.256592535900435	0.190104432371389	0.279884259195877	0.252768016566627	0.307164350321294	0
AZIN1	0.187887429742713	0.173684327876498	0	0.172812346992004	0.0247421759941073	0.150324853906189	0.153741687099296	0.0706052143447966	0.142350906011026	0.172621780182412	0.146988568050846	0.163383479621645	0.109333151447392	0.339031107911417	0.142729834140446	0.278387410394514	0.0588363346711886	0.152540801268918	0.187011502342473	0.116365478537424	0.104013928861308	0.102034611816428	0.146970911215161	0.0705350744831834	0.103519586499426	0.248276421823618	0.12952392740186	0.186873499874436	0.157491483177468	0.18991930711858	0.0874530031982516	0.2510890231592	0.17998182912576	0.175249889281666	0	0.181687313431564	0.226123477953498	0.36584402857309	0.071694842586135	0.280246345179146
ING5	0.0251347200300669	0.0846494242982902	0.109793111821059	0.0443967826006253	0.0417677473389852	0.162254126048478	0.137794001653925	0.158195246076131	0.0434030398735285	0	0.080109079982261	0.29154886875087	0	0	0.105538666553344	0.0496572842614004	0.0380235459714255	0	0.0478495965588941	0	0.097233369401471	0.187577013723594	0.115443088333835	0	0.0475167181880633	0.0695678826271192	0.281255450219513	0.0918261244730525	0.0965388149305029	0.0423176860203041	0.0512627245223687	0.123307198638884	0	0.122818199701544	0.148407082137798	0	0	0	0	0
IMPDH2	0.22595292311162	0.231227920765006	0	0.263342236909562	0.150246591513034	0.222785267990225	0.326192953829005	0.226212669078203	0.174155368473782	0.369196796634323	0.0279665852471345	0.111417350280971	0.152221108490674	0	0.0947226791764499	0.108928312533483	0.192478112854287	0.188110559132159	0.174753929294102	0.201572452594539	0.127698641884096	0.109126404456988	0.313703014096337	0	0.155605283696614	0.195368227515076	0.0980817478189629	0.153307338014075	0.396157878925659	0.251336167774606	0.311465006317242	0.23996266034715	0.168880375240753	0.0824567727242483	0.125305121682262	0.180101283220415	0.143501434987616	0.0547316979783325	0.0634053745263699	0
AAMP	0.0924643787285637	0.141809710864935	0.109793111821059	0.202955465185033	0.0141881493305322	0.0835889815074455	0.120177562088368	0.208246469773007	0.202675848345905	0.0565205283611201	0.117101525042506	0	0	0	0.0195515573553186	0.146566138255068	0.0744594158677041	0.137288670640403	0.155151661283185	0.153665019019634	0.143384224018701	0.224153920315845	0.111819446755697	0.364599967502467	0.21296699147122	0.131616606611262	0	0.200660222276254	0.0955682236800141	0.0607211505677693	0.198775934384326	0.0830996650538794	0.0752170574821174	0.175415711909624	0.389056186501499	0.0412712464701172	0	0.25874352724521	0.152251694653514	0
PLEKHO1	0.344115721184822	0.20015296444364	0.10096404570804	0.155417011339553	0.226465582130119	0	0.104121770873924	0.379480843227608	0.0980427142154669	0.285103385103723	0.152772810629956	0	0.095661450595578	0.360373346491288	0.133583462016874	0.17881872148809	0.109157100644949	0.159746584445074	0.234169179224569	0.134196222494586	0.106769943287436	0.133994117126969	0.20053807251845	0.0666913320515596	0.11705327766027	0.223991495863291	0	0.232616304551693	0.0965388149305029	0.174078137695196	0.0595026361415247	0.100308738806107	0.141017101615229	0.30503287823902	0.169048644858631	0.143268165553657	0.193083015283774	0.426585038987256	0.123544595784523	0.280246345179146
EDEM1	0.146576867729412	0.0499428889111775	0.307961714862722	0.090229684953307	0.0961476769866446	0.134296795897606	0.135720053776314	0.0940623208251238	0.163335410316172	0.230433348115259	0.086895164602599	0.150055891642691	0	0	0.117463738701731	0.328760019794564	0.0227232772346549	0.175375296268355	0.124107973240097	0.200632311482516	0.169855932474842	0.0691643733572681	0.0546022042167182	0.107949151058902	0.100553078015217	0.169547949291878	0.0707014063362235	0.0188814979748295	0.052847864897222	0.116201158279769	0.193917376684559	0.167330583591896	0.1614889991206	0.245023390979356	0.569691138295099	0.210234169301123	0.0894792388465269	0.0723825046647386	0	0.280246345179146
CGAS	0.0206004618281909	0.160755650637748	0.220553342528923	0.0600418843170811	0.0795026670799442	0.101510400054322	0	0	0.0897793134807329	0.0542170826141248	0.172069270394981	0.276948441480787	0	0.14061031378018	0.0867696186878922	0.127312488912455	0.0706316354347976	0.0237019438250583	0	0	0.0737999062915361	0.0585389219373852	0.0688286808836918	0	0.0481485526824061	0.0123698814629098	0.147700373801698	0.11360433749754	0.052847864897222	0.0989922773339971	0.0354432516540941	0.156171450439487	0.120741159806837	0.0892582542196708	0.288824161811451	0.114543962774969	0.165229883526739	0.0642287685101029	0	0
