"gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"z.std"
"39"	"ENTPD4"	-0.0809559828922291	12.6171530475869	-1.87890636668431	0.0613824222463339	0.737326021664434	-4.45875315729139	-1.87073066447295
"40"	"ORMDL1"	-0.133220357624989	13.0490737579844	-1.87095805005776	0.0625017612754778	0.737326021664434	-4.11891064110648	-1.86271935523684
"41"	"OXSR1"	-0.0976708772379115	12.6954610339669	-1.85768410006686	0.0643508925844858	0.737326021664434	-4.33625330297183	-1.84974096918074
"42"	"SLC25A37"	-0.0749230622642109	12.5964725230394	-1.84686613886219	0.0659093418388848	0.737326021664434	-4.56150642892958	-1.83903973544057
"43"	"COPS8"	-0.101288039711299	12.7093717096368	-1.84482593807821	0.0662313087579129	0.737326021664434	-4.34261679587865	-1.83685496745376
"44"	"MEMO1"	-0.0739350477861091	12.5904500790621	-1.83674943331441	0.0673949518394169	0.737326021664434	-4.5888260567213	-1.82903108371549
"45"	"AC245297.3"	0.137696286933506	13.0711345165499	1.83134516355631	0.0682220007334732	0.737326021664434	-4.17255019486952	1.82353764596658
"46"	"KLHL2"	-0.0741085710264213	12.5860146964121	-1.82804208821961	0.068695694846623	0.737326021664434	-4.6151216557438	-1.82041588709729
"47"	"SNRPC"	-0.130283484057675	12.91690438752	-1.82398608405325	0.0693086460364568	0.737326021664434	-4.22407371416724	-1.81640253885421
"48"	"PSMD14"	0.108357926103553	12.7477687813139	1.81008115249213	0.071444369361929	0.744212180853427	-4.34081135712271	1.80264255420466
"49"	"MAPKAP1"	-0.088220723577668	12.6620438394239	-1.79930087050845	0.0731556541669521	0.746486267009715	-4.4926583786294	-1.79185838111896
"50"	"DDHD2"	-0.0723193166552722	12.5884563148065	-1.77071004055123	0.0777873616455224	0.762604105596538	-4.70259694548384	-1.76367114658619
"51"	"ANKIB1"	-0.0904677562312808	12.6684466884427	-1.76481351585749	0.0787759053262934	0.762604105596538	-4.53816568415611	-1.75783313665359
"52"	"ACTR1B"	-0.0924851846996733	12.6900857889464	-1.76164799372524	0.07931082698204	0.762604105596538	-4.50026277064043	-1.75469888427933
"53"	"NADK"	-0.0765013865114246	12.6175955518115	-1.71502773717259	0.0875384804348344	0.812674437458132	-4.73443543479782	-1.70852764975824
"54"	"WTAP"	0.129776968150134	13.1323395911562	1.70212523448542	0.0899548922694919	0.812674437458132	-4.36890841459968	1.69563570141023
"55"	"CENPH"	-0.0702298471073765	12.601051619568	-1.69178926319856	0.0919179730732773	0.812674437458132	-4.78559358991127	-1.68536603176335
"56"	"HIST1H1C"	-0.0724014553659133	12.6121652967535	-1.67796318843853	0.0945832299545308	0.812674437458132	-4.79957421855078	-1.67170133917404
"57"	"DENND3"	0.0956603809758546	12.7318696211959	1.67735039405527	0.0946826333351042	0.812674437458132	-4.58742573423342	1.67119770547843
"58"	"COMMD10"	-0.0643359359699534	12.5774882664083	-1.67681257029226	0.0947879167604695	0.812674437458132	-4.89189017656267	-1.67066474199444
"59"	"REL"	0.115987339742361	13.8494790760477	1.66518633508307	0.097087000398496	0.812674437458132	-4.50361406355886	1.65914289993456
"60"	"FAM50A"	-0.100874741328056	12.7715292835052	-1.66301688884791	0.0975209324949759	0.812674437458132	-4.55434915500345	-1.65699279147034
"61"	"RYK"	-0.0686172083897046	12.5908475423474	-1.65295773361283	0.0995705747789377	0.816152252286375	-4.87820532261201	-1.64693904796563
"62"	"MRPS28"	0.0746813344998937	12.62954990372	1.60350048814761	0.110045260611435	0.878398284747182	-4.84166333881442	1.5979897394874
"63"	"CTDSP1"	0.103761936233982	12.8235129172845	1.59094658411316	0.112843707806034	0.878398284747182	-4.6170865409644	1.58553994896396
"64"	"PIGX"	0.0915970006557337	12.750556949838	1.58739619554888	0.113645291215512	0.878398284747182	-4.70890108113671	1.5820187454516
"65"	"CAPN2"	-0.0970943084552516	12.7778973809014	-1.58222260465347	0.114821418125126	0.878398284747182	-4.66648929108008	-1.57688747879887
"66"	"ANKH"	-0.078190990208071	12.6690485611534	-1.5773911981886	0.115948573586628	0.878398284747182	-4.83995489889507	-1.57200852743947
"67"	"YARS"	0.0970643645746463	12.7946943973417	1.55460464381412	0.121263638721573	0.893908711950828	-4.68817751189997	1.54949139401517
"68"	"SRPK1"	0.10317275848678	12.8293211868223	1.55331370859279	0.121571584825313	0.893908711950828	-4.66202583218468	1.54821066365048
"69"	"STARD3NL"	0.06865799221337	12.6162140594289	1.53299838949958	0.126499130609136	0.916660366732871	-4.97753479572182	1.52805400234612
"70"	"ABCF2.1"	0.0714360198619994	12.6378398344154	1.52557552355466	0.128338100019187	0.916700714422767	-4.94566841254133	1.52068820502195
"71"	"PIN4"	-0.0948409609241942	12.7941168510082	-1.4862338288406	0.138458764480035	0.96655298150869	-4.77992542544599	-1.48155490878744
"72"	"UBAP1"	0.0594106642115284	12.5783874057073	1.48341012312286	0.139183629337251	0.96655298150869	-5.15099809003337	1.47883795402969
"73"	"MAD2L1BP"	0.0628278221182407	12.6036012206122	1.45555828869258	0.146728072177868	0.988021514168307	-5.13718882579728	1.45118600729179
"74"	"PRKAA1"	0.0800892137152366	12.6976146434208	1.45537203710726	0.146799371713989	0.988021514168307	-4.92543952046274	1.45092993346528
"75"	"SENP2"	-0.060401506219014	12.6022946022285	-1.43251726571155	0.153203954888259	0.988021514168307	-5.18540015534476	-1.42830546725834
"76"	"TRIM4"	-0.0652973850742035	12.6297958125794	-1.40862068030368	0.160148963993155	0.988021514168307	-5.15663814474837	-1.40457073508307
