	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
ID_31;;pilot3_lane7	10.2976902232833	-3.95457408627252	11.8659102488855	-7.85715799411377	-0.761030324550226	3.76966401629959	5.95814583107924	1.74384036838271	1.6331994252359	-2.65660620580948
ID_15;;pilot3_lane4	3.62694988222472	-0.483332939274671	-1.06254707613468	-0.173818282398912	4.81927897499441	1.10534063988361	-2.82642407444018	4.9443383930075	-0.307311408268727	-8.39304055156386
ID_14;;pilot3_lane4	-12.2291971012317	4.63832776729654	1.11150835897437	19.9948995166357	62.186925300519	40.747548735599	-59.2937336142446	-22.0559760891615	19.5830004480248	-15.6110711546419
ID_3;;pilot3_lane1	6.83246039375786	2.83867880743338	1.56179407102674	2.23772342617475	-11.7624168652546	0.286608227041276	-0.651626357424914	-5.66943832224169	2.44227666230609	12.328300590215
ID_38;;pilot3_lane8	9.52757383666733	-4.4894764720017	1.10513279995994	-1.87785528331007	3.69165468238925	1.40279386226587	2.40049795975958	2.58100877462223	-3.43861760835415	-2.23911996209499
ID_25;;pilot3_lane6	12.7393547626919	-1.06323799478843	2.33570105191253	-0.921957027194683	-4.17568305116583	0.834524034631806	4.40954665643973	-2.82585368854241	3.82473900339055	-3.9116533733071
ID_26;;pilot3_lane6	13.8471410196726	1.89389713668425	8.23658587425667	-15.5291637965158	3.60901889564447	0.606445739334229	1.4450670227727	-1.20645296856679	0.296156457002675	-3.14247635295942
ID_27;;pilot3_lane6	-11.8761645592715	9.21131153325475	-9.73346904288846	29.3740750882137	-31.0585591124955	24.1538187588092	15.7484433805379	9.56019838023654	66.3367635620325	27.2166479446946
ID_32;;pilot3_lane7	18.0436082517109	-2.46999512338154	14.4506750268813	-18.2999804045649	8.93953055167696	1.36167970954034	6.67325304243222	-3.48660533305886	-2.44049917893486	-3.44611171763043
ID_5;;pilot3_lane1	17.3511121175689	-10.9015477846147	-10.4124981679512	-11.473292469308	-14.7342917710135	-2.03683382999551	-25.8973863597155	26.1235548232717	-13.5900938872069	23.038552312752
ID_19;;pilot3_lane5	6.51109011384075	1.38406202943336	5.65952440650028	6.44447608024881	-3.07611945037746	6.50554096329291	-0.159721272132082	-1.61968082753959	2.21580075136664	-1.43566451606042
ID_33;;pilot3_lane7	-16.2082412146875	4.32488102473806	-20.8997115440883	29.6111575312593	0.282963411190571	5.78366421304682	5.82484105557198	28.0124083074851	-1.79404606240205	-35.4656440829409
ID_35;;pilot3_lane7	-25.2875138477929	7.75993271141669	-85.3115876923137	-61.1003438978112	-1.85098433649752	18.8174271679259	6.58109170499738	-13.8557223003918	-0.91019942600992	-5.1504513622714
ID_28;;pilot3_lane6	-74.3906428246583	63.2461034902471	45.8104765087449	-33.1293040512173	-13.2689999790151	-10.2801511158391	-14.3277031441388	11.9780827322822	0.725736435582904	2.97509945171555
ID_9;;pilot3_lane2	18.1481434931046	4.50327909935968	14.239964491039	-12.8690573230291	0.285907670259805	-0.217606473248206	6.97117536927059	-4.41183477373826	-2.07071499850293	-3.36854874761545
ID_37;;pilot3_lane8	14.0515028655863	0.0978950389060224	17.4927494812331	-14.7832537361934	4.85056363478556	5.07789731228089	10.8604408917692	-2.74013544529471	3.28491273039724	-2.79899501731922
ID_8;;pilot3_lane2	6.65165644189711	2.11144378749088	-1.96256001882972	4.40109416811139	-0.393204899157152	2.84384833393789	6.97837786972116	3.84666526930014	-0.953993314836785	-3.49071655617704
ID_7;;pilot3_lane2	13.6595074719341	-2.57974024467015	7.82727424353052	-6.9737186870847	1.72872410366992	1.26596822705117	-3.52499971527653	2.40510284423354	-4.7286898342862	-1.10122617360716
ID_10;;pilot3_lane3	16.9942835222327	-2.6755670700138	4.07483235407718	-11.341854986841	-1.56037643552838	3.17088715180218	-2.02682588741916	0.491986845929139	-6.66983517333209	3.61104565909054
ID_34;;pilot3_lane7	-4.30705897044413	-0.645579173765126	-8.8798980417503	15.0984625834364	-6.82321423868123	8.83033217026105	11.5264325079655	8.27713393243781	1.39862124792741	-0.282517830453514
ID_30;;pilot3_lane7	0.91964419632214	-3.05383562402616	-0.47810540857481	9.21302756336143	-8.82126723038183	8.51929753185893	4.83159740898012	3.63885379168084	4.1227958474425	-0.508755440771543
ID_4;;pilot3_lane1	7.41780427093451	-1.29731656748875	-7.57283631863555	11.0057814716868	-5.13262187434359	0.709513253464027	-1.98094502139288	-3.96555223872095	-1.26818114066154	-6.60969440471004
ID_36;;pilot3_lane8	15.2967839598274	-1.32826626495151	8.97058404310306	-7.96354052651588	1.75249926405017	1.26048817833636	-2.34727387593537	-2.21440038418484	-1.72365019892651	-2.19372619549055
ID_17;;pilot3_lane4	-8.99099550025323	4.91932950831884	-5.44192902610556	28.6047426256179	-48.6826361196289	-17.7784387409199	-18.4766163023073	-75.4762110672367	-22.0779459268809	-9.52764557616722
ID_11;;pilot3_lane3	0.14343995371447	-2.96643036992478	-2.69254815941891	14.268908204747	-14.3089293537519	5.83694708822752	-2.63223449893759	6.65573226614454	5.67296094284182	5.31617563706124
ID_23;;pilot3_lane5	7.03294653456768	8.11356299931684	11.7133737942829	-5.35468495147958	6.07389191609789	0.435018202277947	7.82694557122367	-12.434819028863	-1.12143942921946	-8.76168240502768
ID_12;;pilot3_lane3	7.84746595266417	-2.59213056081806	3.88388429857765	-5.95625597027503	1.18536241031052	4.84492470706797	0.181344098527272	-0.507801958609066	-1.24385401833509	3.95926283599434
ID_22;;pilot3_lane5	-12.0751010548615	5.73102710538669	-13.1251328263692	26.7165934008195	-10.7982644440226	-12.9255125589823	-9.16622656272752	42.3519482540267	-35.3534302627579	-42.8735549427241
ID_39;;pilot3_lane8	10.4331929230149	-0.613609444375155	1.92779898846083	-4.51133755103843	-2.72752813761843	1.58195370230471	0.205304376543814	3.13205747930316	-2.90639471576981	-1.13978955993835
ID_21;;pilot3_lane5	10.6109624735588	0.405651263709208	15.0960159464188	-8.07016505470556	-1.78501007308984	4.2700822924375	6.949640980702	-3.73123663845286	4.5430746954108	-4.03013342581115
ID_13;;pilot3_lane4	5.92247192820304	-0.415046628719669	-6.08641304638727	4.88616490928117	-9.17151552767547	2.51204216964825	-1.19004759855014	4.22341519515211	-3.32773847516555	0.786580069354012
ID_2;;pilot3_lane1	2.80952419740963	5.29400971776877	3.43648369452231	2.55340555355427	1.40621611954145	-2.93882251289359	-1.09393533483161	-4.84993831455631	3.67456238226358	0.0273513996481248
ID_16;;pilot3_lane4	-22.2621260603108	25.9609424003591	-9.31665618110243	30.6368126342012	50.8109379690348	-10.7874753156919	62.8896179962107	-18.265353280125	-21.7703631739996	19.2147120869379
