"gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"z.std"
"19"	"DENND3"	0.00463175845907196	12.7318696211959	2.15924306939141	0.0317513843465866	0.816668795116558	-6.12301459607016	2.14752656867399
"20"	"NAPRT"	0.00308550871750267	12.5564134914923	2.13824612022484	0.0334541163186116	0.816668795116558	-6.5388314466558	2.12659057458519
"21"	"NADK"	0.00363291300469413	12.6175955518115	2.12780018365747	0.0343000893948954	0.816668795116558	-6.43688068451735	2.11652608142237
"22"	"NBDY"	0.00523100511517644	12.8065528813808	2.10854527274194	0.0359657907716867	0.817404335720153	-6.08530427734866	2.09731397265652
"23"	"EXOC3"	0.00283603322537327	12.5482674235428	2.03378854518372	0.0430145304140911	0.887082639615767	-6.76824830761398	2.02356887333262
"24"	"TCOF1"	0.00503364225524347	12.8043374529593	2.02231498275957	0.0441848778770893	0.887082639615767	-6.27622508592801	2.01233269748213
"25"	"SPCS1"	-0.00584941039909696	13.4067082960548	-2.02058198692264	0.0443541319807884	0.887082639615767	-6.10532257262322	-2.01072859455748
"26"	"S100A6"	0.00566830078693173	13.6931635757602	1.98885868979765	0.0477709579644029	0.905032728179787	-6.22993682098079	1.97940027153876
"27"	"NENF"	0.00493312962731645	12.8260846593615	1.97904723521627	0.0488717673217085	0.905032728179787	-6.34057321829463	1.96970868261802
"28"	"ZRANB2"	0.00511170864942571	12.9733722970459	1.86163485171319	0.0638010231100227	0.938590433869572	-6.45242669685983	1.85356776353265
"29"	"TRIM4"	0.00329085250287839	12.6297958125794	1.85599007060756	0.0645928969446567	0.938590433869572	-6.93608369371375	1.84806529943431
"30"	"NRAS"	-0.00406919278650011	12.7512648908789	-1.84713935035109	0.0658696010100239	0.938590433869572	-6.71905124151494	-1.83931001384335
"31"	"NUCKS1"	0.00517107708421962	12.9876517318438	1.84631540631359	0.0659895108497567	0.938590433869572	-6.47781894500452	1.83849491242433
"32"	"FOXN2"	0.00260323715778096	12.55554843306	1.8441589335005	0.0663042023284393	0.938590433869572	-7.13578564510397	1.83636154943876
"33"	"PDIA6"	0.00521521749150033	12.9947806279736	1.83481073532948	0.0676827854500349	0.938590433869572	-6.49667237341796	1.82711297059101
"34"	"MAP3K1"	0.00372296151261003	12.6913420346362	1.83150971369543	0.0681752198337174	0.938590433869572	-6.82937022393938	1.82384690929201
"35"	"HLA-DMA"	0.00526830002462316	13.5118655925902	1.82705982246176	0.0688437240918156	0.938590433869572	-6.49122482476367	1.81944396700818
"36"	"MRPS17"	0.00303029854658309	12.6386418656325	1.77855380883584	0.0764881376297763	0.938590433869572	-7.0632941113266	1.77143653503343
"37"	"NUP210"	0.00322106964335338	12.6390952675827	1.77527943858237	0.0770451096548572	0.938590433869572	-7.04777133007497	1.76809448275118
"38"	"SNX4"	0.00292057257547753	12.6052693122027	1.77310898286522	0.0774067762057472	0.938590433869572	-7.11910414375365	1.76593487037093
"39"	"TLE4"	0.00384846321050445	12.7542026492628	1.7501815579792	0.081295048654692	0.938590433869572	-6.870921399251	1.74322082788736
"40"	"PPA2"	0.00325737657691022	12.6780301653739	1.73947173072173	0.0831420896628965	0.938590433869572	-7.0496943805244	1.73273888556964
"41"	"DENND4B"	0.00271964451856038	12.5997036291586	1.73490825027745	0.0839664779777961	0.938590433869572	-7.23739591320384	1.72812130843881
"42"	"HNRNPR"	0.00502898429192772	13.0618737435146	1.73435836695129	0.0840465624712502	0.938590433869572	-6.65332336571375	1.72767469682885
"43"	"DEK"	0.00491750739996222	13.0987592895485	1.71572641484752	0.0874102507739403	0.938590433869572	-6.67623907929982	1.70921975557762
"44"	"MAPKAP1"	0.00313831849336367	12.6620438394239	1.71074997717985	0.088341430541634	0.938590433869572	-7.12242454944012	1.70421230844076
"45"	"HADHA"	-0.00450161236986636	12.9467417413287	-1.68351437686328	0.0935005692181577	0.938590433869572	-6.77448812699757	-1.67721437413587
"46"	"COQ2"	0.00232166921901952	12.5507431969211	1.67960778606113	0.0942696459463809	0.938590433869572	-7.43320451152784	1.67329291800546
"47"	"INTS6L"	0.00236793979825951	12.5590481029603	1.67587172561204	0.0949723217545896	0.938590433869572	-7.43908736875437	1.66973239290036
"48"	"COPB2"	0.00333987363823804	12.6953817071405	1.66011183104841	0.0981323178693744	0.938590433869572	-7.12055103462897	1.65397635099939
"49"	"INPP5D"	0.00480260075928154	13.1503987565615	1.65744263357174	0.098643045750375	0.938590433869572	-6.76250670526044	1.65146801933583
"50"	"ENTPD4"	-0.0026785443546997	12.6171530475869	-1.6378978392024	0.102659597218314	0.938590433869572	-7.36165066085047	-1.63209441932584
"51"	"ATP5MC3"	0.00474570915445642	13.3128762764712	1.63680287508585	0.102888433045513	0.938590433869572	-6.79223100073401	1.63100894042945
"52"	"SEPT2"	0.00469815165112638	13.0239236620655	1.63656497838395	0.10293820483658	0.938590433869572	-6.8252524180539	1.63077310305167
"53"	"POLR2K"	-0.00465605557751369	13.0695683409368	-1.63220200667561	0.10385442816082	0.938590433869572	-6.82491467021067	-1.62644780552527
"54"	"SEPT7"	0.00418877483267126	13.8855567793221	1.63082884545191	0.104167414697879	0.938590433869572	-6.92148677399225	1.62497721111102
"55"	"HARS"	0.00303464419831927	12.6713382932325	1.6165978382984	0.107209872904342	0.938590433869572	-7.26493872424052	1.61086168404795
"56"	"HERPUD2"	-0.00358826860186688	12.7467025947005	-1.59756280939543	0.111361904103582	0.938590433869572	-7.11439246535268	-1.59210148229371
